id,name,default_code,qty_available,list_price,categ_id,uom_id
138694,Destornillador Nicholson Standar  3/8 X 12 214127N,13463,0,35225.44,All,Units
138695,Destornillador Nicholson Standar  3/8 X 6  214116N,13460,0,29471.8,All,Units
138696,Destornillador Nicholson Standar  3/8 X 8  214118N,13461,0,32120.96,All,Units
138697,Destornillador Nicholson Standar  5/16X 10 214115N,13458,0,31334.49,All,Units
138698,Destornillador Nicholson Standar  5/16X 12 214126N,13459,0,32700.46,All,Units
138699,Destornillador Nicholson Standar  5/16X 5  214125N,13455,0,25042.75,All,Units
141384,Destornillador Nicholson Standar  5/16X 6  214113N,13456,0,26160.37,All,Units
138700,Destornillador Nicholson Standar  5/16X 8  214114N,13457,0,27691.9,All,Units
138701,Destornillador Nicholson Standar 1/8X3 1/8 214101N,13442,0,17964.56,All,Units
138702,Destornillador Nicholson Standar 3/16 X 4  214105N,13447,0,16474.4,All,Units
138703,Destornillador Nicholson Standar 3/16 X 5  214107N,13448,0,16846.95,All,Units
138704,Destornillador Nicholson Standar 3/16 X 6  214106N,13449,0,17674.81,All,Units
138705,Destornillador Nicholson Torx T 10         231110N,13493,0,12086.75,All,Units
138706,Destornillador Nicholson Torx T 15         231115N,13494,0,14404.76,All,Units
138707,Destornillador Nicholson Torx T 20         231120N,13495,0,14404.76,All,Units
138708,Destornillador Nicholson Torx T 25         231125N,13496,0,15191.22,All,Units
138709,Destornillador Nicholson Torx T 27         231127N,13497,0,21441.56,All,Units
138710,Destornillador Nicholson Torx T 30         231130N,13498,0,21441.56,All,Units
138711,Destornillador Nicholson Torx T 6          231106N,13489,0,12500.68,All,Units
138712,Destornillador Nicholson Torx T 7          231107N,13490,0,12086.75,All,Units
138713,Destornillador Nicholson Torx T 8          231108N,13491,0,12500.68,All,Units
138714,Destornillador Nicholson Torx T 9          231109N,13492,0,12500.68,All,Units
107487,Destornillador P3000 P. Phillips #1,44717,0,11842.71,All,Units
107488,Destornillador P3000 P. Phillp #2 3302-125,44718,0,12806.53,All,Units
107489,Destornillador P3000 P. Plana Recta 150,46967,0,13546.75,All,Units
107490,Destornillador P3000 P.Phillips #0 330075,42244,0,11861.22,All,Units
107491,Destornillador P3000 P.Phillips #3 3303150,42245,0,19075.07,All,Units
107492,Destornillador P3000 P.Plana Conica 100mm 3155100,42238,0,11898.2,All,Units
107493,Destornillador P3000 P.Plana Conica 100mm P3140100,42237,0,11195.6,All,Units
108077,Destornillador P3000 P.Plana Conica 125 3165125,42240,0,13546.75,All,Units
107494,Destornillador P3000 P.Plana Conica 125mm 3155125,42239,0,13546.75,All,Units
107495,Destornillador P3000 P.Plana Conica 150mm 3165150,42241,0,13542.15,All,Units
107496,Destornillador P3000 P.Plana Conica 150mm 3180150,42242,0,19174.48,All,Units
43862,Destornillador P3000 P.Plana Conica 200mm 31100200,42243,0,24634.43,All,Units
107497,Destornillador P3000 P.Plana Conica 75mm,42236,0,11861.22,All,Units
107498,Destornillador P3302 - 150,49119,0,13542.15,All,Units
43903,Destornillador Perillero 4330-60,53053,0,5902.07,All,Units
